entity_id,state,last_changed
switch.wasserbett_heizung,off,2025-09-26T18:58:42.152Z
switch.wasserbett_heizung,on,2025-09-26T18:59:12.128Z
switch.wasserbett_heizung,off,2025-09-26T18:59:42.021Z
switch.wasserbett_heizung,on,2025-09-26T19:00:11.993Z
switch.wasserbett_heizung,off,2025-09-26T19:00:42.071Z
switch.wasserbett_heizung,on,2025-09-26T19:01:12.152Z
switch.wasserbett_heizung,off,2025-09-26T19:01:42.087Z
switch.wasserbett_heizung,on,2025-09-26T19:02:12.079Z
switch.wasserbett_heizung,off,2025-09-26T19:02:42.005Z
switch.wasserbett_heizung,on,2025-09-26T19:03:12.079Z
switch.wasserbett_heizung,off,2025-09-26T19:03:42.151Z
switch.wasserbett_heizung,on,2025-09-26T19:04:12.087Z
switch.wasserbett_heizung,off,2025-09-26T19:04:42.010Z
switch.wasserbett_heizung,on,2025-09-26T19:05:12.094Z
switch.wasserbett_heizung,off,2025-09-26T19:05:42.064Z
switch.wasserbett_heizung,on,2025-09-26T19:06:12.006Z
switch.wasserbett_heizung,off,2025-09-26T19:06:41.994Z
switch.wasserbett_heizung,on,2025-09-26T19:07:12.006Z
switch.wasserbett_heizung,off,2025-09-26T19:07:42.001Z
switch.wasserbett_heizung,on,2025-09-26T19:08:12.022Z
switch.wasserbett_heizung,off,2025-09-26T19:08:41.995Z
switch.wasserbett_heizung,on,2025-09-26T19:09:11.922Z
switch.wasserbett_heizung,off,2025-09-26T19:09:41.972Z
switch.wasserbett_heizung,on,2025-09-26T19:10:12.045Z
switch.wasserbett_heizung,off,2025-09-26T19:10:42.109Z
switch.wasserbett_heizung,on,2025-09-26T19:11:12.000Z
switch.wasserbett_heizung,off,2025-09-26T19:11:42.020Z
switch.wasserbett_heizung,on,2025-09-26T19:12:12.159Z
switch.wasserbett_heizung,off,2025-09-26T19:12:42.050Z
switch.wasserbett_heizung,on,2025-09-26T19:13:12.066Z
switch.wasserbett_heizung,off,2025-09-26T19:13:42.099Z
switch.wasserbett_heizung,on,2025-09-26T19:14:05.453Z
switch.wasserbett_heizung,off,2025-09-26T19:14:12.003Z
switch.wasserbett_heizung,on,2025-09-26T19:14:41.998Z
switch.wasserbett_heizung,off,2025-09-26T19:15:12.095Z
switch.wasserbett_heizung,on,2025-09-26T19:15:41.897Z
switch.wasserbett_heizung,off,2025-09-26T19:16:12.035Z
switch.wasserbett_heizung,on,2025-09-26T19:16:41.910Z
switch.wasserbett_heizung,off,2025-09-26T19:17:12.076Z
switch.wasserbett_heizung,on,2025-09-26T19:17:42.131Z
switch.wasserbett_heizung,off,2025-09-26T19:18:12.027Z
switch.wasserbett_heizung,on,2025-09-26T19:18:42.059Z
switch.wasserbett_heizung,off,2025-09-26T19:19:11.969Z
switch.wasserbett_heizung,on,2025-09-26T19:19:42.201Z
switch.wasserbett_heizung,off,2025-09-26T19:20:12.074Z
switch.wasserbett_heizung,on,2025-09-26T19:20:42.050Z
switch.wasserbett_heizung,off,2025-09-26T19:21:12.000Z
switch.wasserbett_heizung,on,2025-09-26T19:21:42.116Z
switch.wasserbett_heizung,off,2025-09-26T19:22:11.938Z
switch.wasserbett_heizung,on,2025-09-26T19:22:42.084Z
switch.wasserbett_heizung,off,2025-09-26T19:23:12.038Z
switch.wasserbett_heizung,on,2025-09-26T19:23:42.033Z
switch.wasserbett_heizung,off,2025-09-26T19:24:12.217Z
switch.wasserbett_heizung,on,2025-09-26T19:24:42.080Z
switch.wasserbett_heizung,off,2025-09-26T19:25:12.000Z
switch.wasserbett_heizung,on,2025-09-26T19:25:41.945Z
switch.wasserbett_heizung,off,2025-09-26T19:26:12.074Z
switch.wasserbett_heizung,on,2025-09-26T19:26:41.991Z
switch.wasserbett_heizung,off,2025-09-26T19:27:12.083Z
switch.wasserbett_heizung,on,2025-09-26T19:27:41.923Z
switch.wasserbett_heizung,off,2025-09-26T19:28:12.076Z
switch.wasserbett_heizung,on,2025-09-26T19:28:42.125Z
switch.wasserbett_heizung,off,2025-09-26T19:29:12.044Z
switch.wasserbett_heizung,on,2025-09-26T19:29:42.019Z
switch.wasserbett_heizung,off,2025-09-26T19:30:12.116Z
switch.wasserbett_heizung,on,2025-09-26T19:30:41.987Z
switch.wasserbett_heizung,off,2025-09-26T19:31:12.034Z
switch.wasserbett_heizung,on,2025-09-26T19:31:42.100Z
switch.wasserbett_heizung,off,2025-09-26T19:32:12.092Z
switch.wasserbett_heizung,on,2025-09-26T19:32:42.089Z
switch.wasserbett_heizung,off,2025-09-26T19:33:12.044Z
switch.wasserbett_heizung,on,2025-09-26T19:37:30.501Z
switch.wasserbett_heizung,off,2025-09-26T19:45:59.264Z
switch.wasserbett_heizung,on,2025-09-26T19:46:03.507Z
switch.wasserbett_heizung,off,2025-09-26T19:51:03.620Z
switch.wasserbett_heizung,on,2025-09-26T19:51:33.489Z
switch.wasserbett_heizung,off,2025-09-26T19:56:33.571Z
switch.wasserbett_heizung,on,2025-09-26T19:57:03.617Z
